                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3333,                 3.1677,                 1.7245,                0.14714,                0.73263,                0.20456,                0.12548,                 1.2489,                 2.3976,                 1.9706,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.2439,                 2.4494,                 1.5737,                0.20914,                 0.6532,                0.28818,                0.18352,                  1.277,                 2.1551,                 1.9545,              0.0066051,              0.0066051,              0.0066051
                      3,                 1.2795,                 2.1989,                  1.592,                0.28877,                0.62458,                0.29017,                0.18086,                 1.2955,                 2.0861,                 1.9668,              0.0098285,              0.0098285,              0.0098285
                      4,                  1.297,                  2.013,                 1.5886,                0.26435,                0.61487,                0.33009,                0.21058,                 1.2788,                 1.7892,                 1.9896,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2658,                 1.8906,                 1.5692,                0.25325,                0.64697,                0.35081,                0.22196,                 1.2682,                  1.667,                 1.9434,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2555,                 1.8329,                 1.5518,                 0.2925,                0.58951,                0.34866,                0.22878,                 1.1929,                  1.689,                 1.8657,                0.00967,                0.00967,                0.00967
                      7,                 1.2288,                 1.7983,                 1.5371,                0.27481,                0.68446,                0.34456,                0.21522,                 1.2606,                 1.7023,                 1.9685,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.2298,                 1.7711,                 1.5414,                0.30423,                0.65355,                0.37171,                0.24597,                 1.2063,                 1.6295,                 1.8713,               0.009505,               0.009505,               0.009505
                      9,                 1.2149,                 1.7321,                 1.5224,                 0.2609,                0.71466,                0.34407,                 0.2277,                 1.1909,                  1.631,                 1.8628,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2033,                  1.722,                 1.5203,                0.30474,                0.66962,                0.37975,                0.25171,                 1.1672,                 1.5218,                 1.8322,                0.00934,                0.00934,                0.00934
                     11,                 1.2015,                 1.7033,                 1.5165,                0.31004,                 0.6564,                0.38907,                0.25678,                 1.1906,                 1.5718,                 1.8473,              0.0092575,              0.0092575,              0.0092575
