文件路径,识别结果,位置,置信度,用时
EmotionData_SIXU_A02088.jpg,恐惧,"[168, 142, 485, 531]",0.5808975696563721,0.023003816604614258
Camera: 0,快乐,"[297, 136, 564, 473]",0.7343229055404663,0.027000904083251953
Camera: 0,快乐,"[297, 136, 564, 473]",0.7343109250068665,0.026050806045532227
Camera: 0,快乐,"[297, 136, 564, 473]",0.7343312501907349,0.01999664306640625
Camera: 0,快乐,"[297, 136, 564, 473]",0.7343116998672485,0.02300095558166504
Camera: 0,快乐,"[297, 131, 566, 469]",0.7346929907798767,0.024515628814697266
Camera: 0,快乐,"[297, 131, 566, 469]",0.7346921563148499,0.021998882293701172
Camera: 0,快乐,"[297, 131, 566, 469]",0.7347020506858826,0.020998477935791016
Camera: 0,快乐,"[297, 131, 566, 469]",0.7346722483634949,0.025997638702392578
Camera: 0,快乐,"[297, 131, 566, 469]",0.734656572341919,0.017000913619995117
Camera: 0,快乐,"[295, 134, 566, 472]",0.7268443703651428,0.022991418838500977
Camera: 0,快乐,"[295, 134, 566, 472]",0.7263632416725159,0.0189969539642334
Camera: 0,快乐,"[295, 134, 566, 472]",0.7281297445297241,0.01600193977355957
Camera: 0,快乐,"[295, 134, 566, 472]",0.7281507849693298,0.01799917221069336
Camera: 0,快乐,"[295, 134, 566, 472]",0.7284532785415649,0.016999006271362305
Camera: 0,快乐,"[297, 129, 564, 466]",0.7375541925430298,0.01900005340576172
Camera: 0,快乐,"[297, 129, 564, 466]",0.7375506162643433,0.01999640464782715
Camera: 0,快乐,"[297, 129, 564, 466]",0.7375656962394714,0.017569780349731445
Camera: 0,快乐,"[297, 129, 564, 466]",0.7375342845916748,0.017997026443481445
Camera: 0,快乐,"[297, 129, 564, 466]",0.7376407980918884,0.0235443115234375
Camera: 0,快乐,"[296, 130, 568, 469]",0.7342560291290283,0.01663351058959961
Camera: 0,快乐,"[296, 130, 568, 469]",0.7342124581336975,0.021007537841796875
Camera: 0,快乐,"[296, 130, 568, 469]",0.7341768741607666,0.024011611938476562
Camera: 0,快乐,"[296, 130, 568, 469]",0.7340156435966492,0.01900172233581543
Camera: 0,快乐,"[296, 130, 568, 469]",0.7336033582687378,0.022000551223754883
Camera: 0,快乐,"[296, 130, 567, 469]",0.731797993183136,0.01599860191345215
Camera: 0,快乐,"[296, 130, 567, 469]",0.7316850423812866,0.01898670196533203
Camera: 0,快乐,"[296, 130, 567, 469]",0.7313812971115112,0.020000219345092773
Camera: 0,快乐,"[296, 130, 567, 469]",0.7319090962409973,0.022629976272583008
Camera: 0,快乐,"[296, 130, 567, 469]",0.7324401140213013,0.018997669219970703
Camera: 0,轻蔑,"[325, 118, 577, 482]",0.2791210114955902,0.02199721336364746
Camera: 0,中性,"[332, 145, 561, 476]",0.2821342945098877,0.02199721336364746
Camera: 0,轻蔑,"[325, 118, 577, 482]",0.27909040451049805,0.01899552345275879
Camera: 0,中性,"[332, 145, 561, 476]",0.2821335196495056,0.01899552345275879
Camera: 0,轻蔑,"[325, 118, 577, 482]",0.27908042073249817,0.01699209213256836
Camera: 0,中性,"[332, 145, 561, 476]",0.282134473323822,0.01699209213256836
Camera: 0,轻蔑,"[325, 118, 577, 482]",0.27953049540519714,0.02000141143798828
Camera: 0,中性,"[332, 145, 561, 476]",0.28206300735473633,0.02000141143798828
Camera: 0,轻蔑,"[325, 118, 577, 482]",0.27512848377227783,0.01799607276916504
Camera: 0,中性,"[332, 144, 561, 476]",0.282889723777771,0.01799607276916504
Camera: 0,中性,"[333, 145, 564, 473]",0.3016275465488434,0.018003463745117188
Camera: 0,中性,"[333, 145, 564, 472]",0.2915002703666687,0.017000675201416016
Camera: 0,中性,"[333, 145, 564, 472]",0.29151907563209534,0.017994403839111328
Camera: 0,中性,"[333, 145, 564, 472]",0.29152005910873413,0.019003629684448242
Camera: 0,中性,"[333, 145, 564, 472]",0.291705846786499,0.01999640464782715
Camera: 0,轻蔑,"[325, 118, 578, 483]",0.2694249749183655,0.020010709762573242
Camera: 0,中性,"[332, 145, 561, 476]",0.28511035442352295,0.020010709762573242
Camera: 0,轻蔑,"[325, 118, 578, 483]",0.26941701769828796,0.023006200790405273
Camera: 0,中性,"[332, 145, 561, 476]",0.2850927412509918,0.023006200790405273
Camera: 0,轻蔑,"[325, 118, 578, 483]",0.26936042308807373,0.018000364303588867
Camera: 0,中性,"[332, 145, 561, 476]",0.28514164686203003,0.018000364303588867
Camera: 0,轻蔑,"[325, 118, 578, 483]",0.2694328725337982,0.01599407196044922
Camera: 0,中性,"[332, 145, 561, 476]",0.2851272523403168,0.01599407196044922
Camera: 0,轻蔑,"[325, 117, 578, 483]",0.27017924189567566,0.01900005340576172
Camera: 0,中性,"[332, 145, 561, 476]",0.28487181663513184,0.01900005340576172
Camera: 0,中性,"[332, 143, 564, 473]",0.2825707197189331,0.02399611473083496
Camera: 0,中性,"[332, 143, 564, 473]",0.2823292016983032,0.016004085540771484
Camera: 0,中性,"[332, 142, 564, 473]",0.27855682373046875,0.02483534812927246
Camera: 0,中性,"[332, 143, 564, 473]",0.2804694175720215,0.017078161239624023
